cell_lat,cell_lon,pass_count,csetn1_avg,nsi,slope_deg,rpi,nearest_psr_name,distance_km,within_psr,priority_tier,annotation
-86.375,215.125,5,1.6,0.4649,4.38,0.106107,de_Gerlache,92.5,False,Watch,
-86.375,172.875,3,2.0,0.3311,3.12,0.106039,Sverdrup,57.1,False,Watch,
-87.375,229.375,3,1.3333,0.5541,5.23,0.105875,de_Gerlache,54.5,False,Watch,
-86.625,214.875,4,1.75,0.4148,3.92,0.105835,de_Gerlache,86.1,False,Watch,
-89.125,43.125,5,1.8,0.398,3.76,0.105779,Shackleton,27.8,False,Watch,
-88.125,251.375,3,0.3333,0.8885,8.41,0.105607,de_Gerlache,20.2,False,Watch,strong CSETN suppression near de_Gerlache
-86.625,175.125,4,2.0,0.3311,3.15,0.105076,Sverdrup,51.9,False,Watch,
-87.625,359.375,3,1.6667,0.4426,4.24,0.104511,Haworth,7.0,True,Watch,confirmed within Haworth PSR boundary
-87.125,235.375,4,1.5,0.4984,4.77,0.104454,de_Gerlache,55.5,False,Watch,
-85.625,222.125,3,1.6667,0.4426,4.25,0.104242,de_Gerlache,107.3,False,Watch,
-88.625,327.125,3,1.6667,0.4426,4.26,0.103919,de_Gerlache,43.4,False,Watch,
-85.375,214.125,5,1.6,0.4649,4.48,0.103821,de_Gerlache,121.2,False,Watch,
-89.125,316.375,5,1.8,0.398,3.83,0.103806,Shackleton,36.5,False,Watch,
-86.125,184.125,3,1.6667,0.4426,4.27,0.103776,Sverdrup,73.1,False,Watch,
-88.375,350.875,3,1.6667,0.4426,4.27,0.103642,Haworth,27.9,False,Watch,
-85.875,311.875,5,1.6,0.4649,4.49,0.103439,Cabeus,31.2,True,Watch,confirmed within Cabeus PSR boundary
-89.375,332.125,4,1.5,0.4984,4.85,0.102717,Shackleton,28.4,False,Watch,
-85.875,172.125,5,2.0,0.3311,3.22,0.102707,Sverdrup,70.9,False,Watch,
-87.375,294.625,3,1.3333,0.5541,5.4,0.102533,de_Gerlache,38.2,False,Watch,
-85.375,218.125,7,1.4286,0.5222,5.1,0.102326,de_Gerlache,117.7,False,Watch,
-86.875,259.625,3,1.6667,0.4426,4.33,0.102317,de_Gerlache,46.6,False,Watch,
-85.375,201.125,5,1.4,0.5318,5.2,0.102298,Sverdrup,110.0,False,Watch,
-89.625,324.625,3,1.3333,0.5541,5.43,0.102076,Shackleton,21.2,False,Watch,
-86.625,238.125,4,1.0,0.6656,6.53,0.101961,de_Gerlache,66.6,False,Watch,
-86.125,131.875,3,1.3333,0.5541,5.44,0.101905,Sverdrup,64.4,False,Watch,
-87.875,39.125,4,1.25,0.582,5.72,0.101753,Haworth,53.9,False,Watch,
-89.625,333.375,3,1.6667,0.4426,4.36,0.101605,Shackleton,20.9,False,Watch,
-88.375,43.375,4,0.75,0.7492,7.38,0.101474,Shackleton,49.6,False,Watch,strong CSETN suppression near Shackleton
-88.125,329.625,3,1.3333,0.5541,5.46,0.101405,Haworth,35.5,False,Watch,
-87.875,47.625,5,1.8,0.398,3.93,0.101402,Faustini,49.7,False,Watch,
-88.375,114.625,4,1.25,0.582,5.75,0.101131,Sverdrup,37.3,False,Watch,
-89.375,346.625,5,1.4,0.5318,5.26,0.101103,Shackleton,27.6,False,Watch,
-85.875,173.125,4,2.0,0.3311,3.28,0.101061,Sverdrup,71.6,False,Watch,
-88.375,278.625,4,1.0,0.6656,6.59,0.101051,de_Gerlache,5.9,True,Watch,confirmed within de_Gerlache PSR — strong suppression
-86.125,231.875,4,1.75,0.4148,4.11,0.100921,de_Gerlache,85.3,False,Watch,
-85.625,269.625,3,2.0,0.3311,3.29,0.100714,de_Gerlache,82.1,False,Watch,
-87.125,240.125,4,1.75,0.4148,4.12,0.100581,de_Gerlache,51.6,False,Watch,
-86.625,169.375,5,2.2,0.2643,2.63,0.100362,Sverdrup,47.7,False,Background,
-88.875,184.125,3,2.0,0.3311,3.3,0.100284,Shackleton,29.5,False,Watch,
-88.125,175.875,3,1.6667,0.4426,4.42,0.100132,Sverdrup,24.1,False,Watch,
-87.125,226.375,3,1.3333,0.5541,5.54,0.09996,de_Gerlache,63.2,False,Watch,
-87.875,355.125,5,1.6,0.4649,4.65,0.099933,Haworth,12.3,True,Watch,confirmed within Haworth PSR boundary
-87.625,221.625,4,1.5,0.4984,5.0,0.099746,de_Gerlache,55.7,False,Watch,
-87.125,234.625,5,1.6,0.4649,4.67,0.099614,de_Gerlache,56.1,False,Watch,
-85.875,126.125,3,1.6667,0.4426,4.45,0.099459,Sverdrup,75.7,False,Watch,
-86.375,69.375,3,0.3333,0.8885,8.94,0.099435,Faustini,34.2,False,Watch,strong CSETN suppression near Faustini
-86.375,120.625,3,1.6667,0.4426,4.47,0.099103,Sverdrup,66.6,False,Watch,
-87.125,149.875,3,1.6667,0.4426,4.49,0.098659,Sverdrup,26.7,False,Watch,
-87.375,24.125,3,1.6667,0.4426,4.49,0.098483,Haworth,39.0,False,Watch,
-88.375,45.875,4,1.75,0.4148,4.22,0.098341,Shackleton,49.2,False,Watch,
-87.875,249.625,4,1.25,0.582,5.92,0.098324,de_Gerlache,26.1,False,Watch,
-86.375,263.375,3,1.3333,0.5541,5.64,0.098191,de_Gerlache,60.3,False,Watch,
-88.875,73.875,4,1.25,0.582,5.93,0.09806,Shackleton,29.6,False,Watch,
-86.375,272.625,3,1.6667,0.4426,4.52,0.097982,de_Gerlache,59.3,False,Watch,
-88.875,75.125,3,1.6667,0.4426,4.52,0.097956,Shackleton,29.4,False,Watch,
-86.625,169.125,3,2.0,0.3311,3.39,0.097744,Sverdrup,47.5,False,Watch,
-88.375,112.375,4,1.5,0.4984,5.11,0.097509,Sverdrup,39.2,False,Watch,
-87.375,83.625,3,2.0,0.3311,3.4,0.097445,Faustini,5.3,True,Watch,confirmed within Faustini PSR boundary
-87.375,87.125,3,2.0,0.3311,3.4,0.097299,Faustini,7.7,True,Watch,confirmed within Faustini PSR boundary
-88.375,48.625,3,2.3333,0.2197,2.26,0.097115,Shackleton,48.7,False,Background,
-87.375,285.875,3,0.6667,0.777,8.01,0.097053,de_Gerlache,32.8,False,Watch,strong CSETN suppression near de_Gerlache
-87.875,138.125,4,1.25,0.582,6.0,0.09705,Sverdrup,16.1,True,Watch,confirmed within Sverdrup PSR — strong suppression
-88.375,224.375,3,1.3333,0.5541,5.71,0.097028,de_Gerlache,40.4,False,Watch,
-85.125,220.625,3,1.6667,0.4426,4.57,0.096918,de_Gerlache,122.8,False,Watch,
-87.625,236.375,3,1.0,0.6656,6.87,0.096816,de_Gerlache,42.7,False,Watch,
-87.625,212.375,3,1.0,0.6656,6.88,0.096776,de_Gerlache,63.7,False,Watch,
-85.625,160.625,4,1.5,0.4984,5.16,0.096546,Sverdrup,73.1,False,Watch,
-87.125,257.125,3,1.0,0.6656,6.9,0.096522,de_Gerlache,40.4,False,Watch,
-86.625,59.875,5,0.4,0.8662,8.99,0.096374,Faustini,41.6,False,Watch,strong CSETN suppression near Faustini
-87.375,100.375,3,1.0,0.6656,6.91,0.096332,Faustini,25.0,False,Watch,
-88.375,225.125,9,1.8889,0.3683,3.83,0.096272,de_Gerlache,39.8,False,Watch,
-86.625,72.125,3,1.3333,0.5541,5.76,0.096156,Faustini,25.1,False,Watch,
-86.625,219.875,3,1.6667,0.4426,4.6,0.096156,de_Gerlache,81.7,False,Watch,
-87.125,98.875,3,0.6667,0.777,8.1,0.095911,Faustini,23.5,False,Watch,strong CSETN suppression near Faustini
-86.625,97.375,3,1.0,0.6656,6.95,0.095765,Faustini,28.8,False,Watch,
-89.375,356.375,3,1.0,0.6656,6.95,0.095712,Shackleton,26.8,False,Watch,
-88.375,58.375,3,0.6667,0.777,8.12,0.09571,Faustini,45.2,False,Watch,strong CSETN suppression near Faustini
-88.625,81.375,3,1.6667,0.4426,4.63,0.095684,Shackleton,35.8,False,Watch,
-85.125,131.375,3,2.0,0.3311,3.47,0.095314,Sverdrup,93.8,False,Watch,
-88.375,209.125,6,2.1667,0.2754,2.9,0.095123,Shackleton,48.5,False,Background,
-87.125,230.875,3,1.6667,0.4426,4.66,0.09508,de_Gerlache,59.3,False,Watch,
-85.125,123.625,5,1.8,0.398,4.2,0.094817,Sverdrup,99.1,False,Watch,
-88.875,195.375,3,0.6667,0.777,8.21,0.094626,Shackleton,31.4,False,Watch,strong CSETN suppression near Shackleton
-86.875,98.375,3,1.3333,0.5541,5.87,0.094434,Faustini,25.6,False,Watch,
-87.875,49.625,3,1.6667,0.4426,4.7,0.094193,Faustini,47.4,False,Watch,
-89.375,26.375,3,1.6667,0.4426,4.7,0.094101,Shackleton,23.4,False,Watch,
-88.125,116.625,3,1.6667,0.4426,4.7,0.094077,Sverdrup,36.4,False,Watch,
-87.625,100.125,3,1.3333,0.5541,5.9,0.093992,Faustini,26.3,False,Watch,
-88.625,319.125,6,1.6667,0.4426,4.71,0.093896,de_Gerlache,37.8,False,Watch,
-87.625,244.625,3,1.6667,0.4426,4.73,0.093622,de_Gerlache,35.7,False,Watch,
-86.875,168.125,3,1.6667,0.4426,4.73,0.093483,Sverdrup,39.9,False,Watch,
-88.125,218.875,3,1.3333,0.5541,5.95,0.093182,de_Gerlache,48.4,False,Watch,
-87.625,189.125,3,1.3333,0.5541,5.95,0.093157,Sverdrup,43.1,False,Watch,
-88.375,210.875,8,2.25,0.2475,2.67,0.092876,Shackleton,48.8,False,Background,
-85.375,129.375,4,2.25,0.2475,2.67,0.092685,Sverdrup,87.8,False,Background,
-85.875,113.875,3,2.0,0.3311,3.57,0.092652,Faustini,67.6,False,Watch,
-88.125,210.625,3,1.6667,0.4426,4.79,0.092437,de_Gerlache,55.1,False,Watch,
-85.875,143.875,5,1.2,0.5987,6.49,0.092288,Sverdrup,65.8,False,Watch,
-86.875,187.375,3,1.3333,0.5541,6.02,0.09208,Sverdrup,56.8,False,Watch,
-88.625,180.375,3,1.6667,0.4426,4.82,0.091878,Sverdrup,30.8,False,Watch,
-88.375,111.375,4,1.25,0.582,6.35,0.09167,Shackleton,39.9,False,Watch,
-87.375,191.125,3,1.6667,0.4426,4.84,0.09154,Sverdrup,49.7,False,Watch,
-85.125,114.875,3,2.3333,0.2197,2.4,0.091424,Faustini,87.6,False,Background,
-88.125,215.625,3,1.3333,0.5541,6.06,0.091363,de_Gerlache,51.1,False,Watch,
-88.375,54.375,3,1.6667,0.4426,4.85,0.091289,Shackleton,47.7,False,Watch,
-85.875,127.875,3,1.6667,0.4426,4.85,0.091242,Sverdrup,74.4,False,Watch,
-87.125,29.375,3,2.0,0.3311,3.63,0.091195,Haworth,49.0,False,Watch,
-87.625,183.125,4,1.0,0.6656,7.3,0.09115,Sverdrup,36.7,False,Watch,
-89.125,75.375,3,1.0,0.6656,7.31,0.090991,Shackleton,22.2,False,Watch,
-89.375,8.125,6,1.0,0.6656,7.33,0.090774,Shackleton,25.6,False,Watch,
-87.375,21.375,3,2.0,0.3311,3.65,0.090765,Haworth,35.3,False,Watch,
